# Every key this machine can say, and the English under it.
#
# GENERATED. Do not edit by hand:
#   UPDATE_VOCABULARY_SNAPSHOT=1 cargo test -p alo-saying \
#     --test a_published_sentence_keeps_its_key
#
# It exists so that the English under a published key cannot move without somebody
# answering whether the meaning moved with it. A translation is keyed, so editing the
# English under a key leaves every translation of it rendering perfectly and saying
# something this product no longer says. ADR 0068 decides what may change; reworded.txt
# beside this file is where a rewording that kept its key says why the meaning held.
#
# One line per key: the key, a tab, then the English exactly as the crate declares it.

access.a-setting	a setting
appearance.colour.not-a-digit	{character} is not a hexadecimal digit — a colour uses 0 to 9 and A to F, as in #102A43
appearance.display.spaced	{name} begins or ends with a space, and a display is matched exactly — give the name without it
appearance.display.unnamed	name the display — it is the name the shell shows for the screen
appearance.kept.another-format	your appearance settings at {path} were written for a different alo OS than this one, so nothing in the file has been used and this machine looks the way alo OS ships it
appearance.kept.not-expressible	this alo OS could not write that change into appearance settings at {path} it can read back again, so nothing about how this machine looks has been changed
appearance.kept.not-read	your appearance settings at {path} could not be read, so this machine looks the way alo OS ships it
appearance.kept.not-replaced	your appearance settings at {path} could not be read, so that change has not been written over them and nothing about how this machine looks has been changed — correct the file, or put appearance back as alo OS ships it
appearance.kept.not-understood	your appearance settings at {path} are not settings alo OS can read, so nothing in the file has been used and this machine looks the way alo OS ships it
appearance.kept.not-understood-at	your appearance settings at {path} stop making sense at line {line}, so nothing in the file has been used and this machine looks the way alo OS ships it
appearance.kept.not-written	your appearance settings at {path} could not be written, so nothing about how this machine looks has been changed
appearance.kept.unknown-key	your appearance settings at {path} say {key}, which is not something alo OS can change about how this machine looks, so nothing in the file has been used
appearance.picture.name-is-a-path	{name} is a path, and a wallpaper that came with alo OS is named rather than pathed — use your own picture instead if it is a file on this disk
appearance.picture.not-a-whole-path	give the whole path to {path}, starting from the top of the disk — where a relative path leads depends on where the shell was started from
appearance.picture.unnamed	name the wallpaper — it is how the image is asked for the picture it shipped
appearance.rotating.not-a-whole-path	give the whole path to {folder}, starting from the top of the disk — where a relative path leads depends on where the shell was started from
appearance.rotating.too-quick	leave each picture up for at least a minute — anything quicker is a flicker
appearance.schedule.the-same-moment	give two different times — a day that turns dark and light at {time} is a day that never changes
appearance.text.too-large	{percent}% is larger than the shell has room for — {largest}% is as large as it goes
appearance.text.too-small	{percent}% is smaller than this screen can be read at — {smallest}% is as small as it goes
appearance.time.no-such-hour	{hour} is not an hour of the day — the day runs from 0 to 23
appearance.time.no-such-minute	{minute} is not a minute of the hour — an hour runs from 0 to 59
appearance.token.charcoal	Charcoal
appearance.token.cream	Cream
appearance.token.navy	Navy
appearance.token.porcelain	Porcelain
appearance.token.terracotta	Terracotta
appearance.token.warm-stone	Warm stone
applications.called	{called} ({application})
applications.entry.no-identifier	an application with no identifier cannot be reached — an identifier is what a grant is made over and what a verb names
applications.entry.not-an-identifier	{application} is not an identifier — an identifier has no spaces and no folders in it, so this one could never arrive as an argument
applications.kept.another-format	your choices of what opens each kind of file, at {path}, were written for a different alo OS than this one, so nothing in the file has been used and each kind opens in the application that says it can
applications.kept.not-expressible	this alo OS could not write that change into your choices of what opens each kind of file, at {path}, in a form it can read back again, so nothing about what opens what has been changed
applications.kept.not-read	your choices of what opens each kind of file, at {path}, could not be read, so each kind opens in the application that says it can
applications.kept.not-replaced	your choices of what opens each kind of file, at {path}, could not be read, so that change has not been written over them and nothing about what opens what has been changed — correct the file, or put these choices back as alo OS ships them
applications.kept.not-understood	your choices of what opens each kind of file, at {path}, are not settings alo OS can read, so nothing in the file has been used and each kind opens in the application that says it can
applications.kept.not-understood-at	your choices of what opens each kind of file, at {path}, stop making sense at line {line}, so nothing in the file has been used and each kind opens in the application that says it can
applications.kept.not-written	your choices of what opens each kind of file, at {path}, could not be written, so nothing about what opens what has been changed
applications.kept.unknown-key	your choices of what opens each kind of file, at {path}, say {key}, which is not something alo OS can change about what opens what, so nothing in the file has been used
applications.not-installed	nothing installed on this machine is {application} — install it, or name one that is here
applications.opens.chosen	{application} opens {what}, because you chose it for that
applications.opens.declared	{application} opens {what}, because it says it can and you have not chosen an application for it
applications.opens.declared-instead	{application} opens {what}, because it says it can — {chosen}, which you chose for it, is no longer installed
applications.opens.nothing	nothing on this machine opens {what} — no application installed says it can, and you have not chosen one
applications.opens.nothing-choice-not-installed	nothing on this machine opens {what} — {chosen}, which you chose for it, is no longer installed, and no other application installed says it can
applications.verb.arrange-application.argument.application	which application's window to move
applications.verb.arrange-application.argument.where	where on the screen the window goes
applications.verb.arrange-application.purpose	put an application's window somewhere on the screen
applications.verb.arrange-application.sentence	put {application} {where}
applications.verb.close-application.argument.application	which application to ask to close
applications.verb.close-application.purpose	ask an application to close, exactly as pressing its close button does
applications.verb.close-application.sentence	ask {application} to close
applications.verb.focus-application.argument.application	which application to bring to the front
applications.verb.focus-application.purpose	bring an application that is already running to the front
applications.verb.focus-application.sentence	bring {application} to the front
applications.verb.open-application.argument.application	which application to start
applications.verb.open-application.purpose	start an application, so it is running and on the screen
applications.verb.open-application.sentence	open {application}
applications.where.left-half	on the left half of the screen
applications.where.right-half	on the right half of the screen
applications.where.whole-screen	across the whole screen
approving.approve	Approve
approving.no	No
approving.no-compositor	The agent has a change waiting for your answer and it cannot be put to you: the desktop is not running. Sign in to the desktop, and ask the agent again
approving.nothing-to-answer	No change is waiting for your answer here. Ask the agent again if you still want it
approving.nothing-to-show-on	The agent has a change waiting for your answer and it cannot be put to you: no screen is connected. Connect a screen, and ask the agent again
asking.question.no-model	choose a model for this question to be answered by
asking.question.nothing	there is nothing to ask yet — write the question first
asking.vetting.cannot-be-tested-from-here	this provider cannot be tested from here, so nothing was sent — save it if you are sure of it, and the first question put to it will say whether it answers
bluetooth.forget-this-device	Forget this device. Its keys are removed from this machine and it will have to be paired again
bluetooth.its-own-code	Type the code that came with the device
bluetooth.none-here	This machine has no Bluetooth. Nothing found is not the same as nothing to find
bluetooth.not-a-machine	This is a device, not another computer. Pairing it gives it nothing on this machine
bluetooth.nothing-found-yet	Nothing found yet. Put your device into pairing mode and it will appear here
bluetooth.pair-with-this	Pair with this device?
bluetooth.radio-off	Bluetooth is off. Nothing is connected and nothing can connect until you turn it on
bluetooth.radio-on	Bluetooth is on
bluetooth.the-same-on-both	Check that the device shows these same digits, then say yes on both
bluetooth.type-this-on-it	Type this on the device, then press enter on it
cameras.camera-is-off	The camera is off. Nothing on this machine can use it, whatever you have allowed it
cameras.let-go	This machine has let go of the camera. There is nothing for a program to open until you turn it back on
cameras.microphone-is-off	The microphone is off. Nothing on this machine can use it, whatever you have allowed it
cameras.none-here	This machine has no camera
cameras.only-the-door	This machine cannot release this device, so off is kept at the door. A program you run yourself outside the workspace could still reach it
cameras.what-it-has-of-its-own	This machine cannot tell whether this camera has a shutter or a light of its own
capability.agent.off	this machine has no agent — turn one on whenever you like, and nothing is reinstalled
capability.agent.on	this machine has an agent — turn it off whenever you like, and everything it has been granted ends at once
capability.answer.lapsed	"{sentence}" was proposed too long ago to answer — ask again if it is still wanted
capability.answer.nothing-waiting	nothing is waiting to be approved under number {number} — it has been answered already, or it was never asked
capability.argument.could-lead-elsewhere	a path with .. in it can lead somewhere else — give {argument} as the path you mean
capability.argument.empty	say what {argument} is — it cannot be blank
capability.argument.not-a-full-path	give {argument} as a full path, so it means the same thing wherever it is read
capability.argument.not-an-identifier	give {argument} as an application identifier, like org.blender.Blender
capability.argument.not-on-the-list	{argument} has to be one of: {options}
capability.argument.not-one-name	{argument} is one name, not a path — give the name on its own, without folders in it
capability.argument.not-printable	{argument} contains a character that cannot be shown — retype it in ordinary text
capability.argument.out-of-range	give {argument} as a number between {least} and {most}
capability.argument.wanted-number	give {argument} as a number, not as text
capability.argument.wanted-text	give {argument} as text, not as a number
capability.call.missing	{verb} needs {argument} — {purpose}
capability.call.no-such-argument	{verb} does not take {argument}
capability.call.no-such-verb	there is no verb called {verb} — the list is closed, so a verb that is not on it does not exist
capability.call.same-argument-twice	{argument} was given twice — a call gives each argument one value
capability.facility.appearance-settings	your appearance settings
capability.facility.camera	the camera
capability.facility.clipboard	what you copied
capability.facility.desktop-background	the desktop background
capability.facility.microphone	the microphone
capability.facility.network-state	the state of the network
capability.facility.notifications	sending you notifications
capability.facility.power-profile	the power profile
capability.facility.screen-continuously	the screen, continuously
capability.facility.screen-once	one picture of the screen
capability.facility.secrets	a place for its own passwords in your keyring
capability.facility.sleep	keeping the machine awake
capability.grant.a-persons-own	a terminal is yours alone — whatever is typed into it runs, so no agent can be granted one
capability.grant.anonymous	say which agent this grant is for — a grant to nobody reaches nothing
capability.grant.could-lead-elsewhere	a path with .. in it can lead somewhere else — grant the folder you mean by its own path
capability.grant.no-application-named	say which application this grant is for — a grant to no application reaches nothing
capability.grant.no-end	a grant has to end — choose how long this one should last
capability.grant.no-time	say how long the grant should last — a grant for no time reaches nothing
capability.grant.not-a-full-path	grant a folder by its full path, so it means the same thing wherever it is asked about
capability.grant.not-for-an-agent	the camera, the microphone, the screen and the like are granted only to applications — an agent is offered what it needs at the moment you ask it
capability.grant.nothing-named	choose the folder, file or application this grant is over
capability.grant.the-whole-machine	there is no grant to the whole machine — pick the folder you actually mean
capability.proposal.no-end	a question has to lapse — choose how long this one stands for
capability.proposal.no-time	say how long the question stands — one that lapses at once cannot be answered
capability.proposal.read-does-not-wait	{verb} answers a question rather than changing anything — run it in the turn instead of asking about it
capability.reach.application	the application {application}
capability.reach.file	the file {path}
capability.reach.folder	{path} and everything in it
capability.refused.application-expired	{application} was granted {reach} and that has expired — grant it again to let {application} use {wanted}
capability.refused.application-never-granted	{application} has not been granted {wanted} — an application reaches only what you grant it, never what it asks for
capability.refused.change-waits	{verb} changes something — propose it with the sentence describing it and let one person approve that, rather than running it in the turn
capability.refused.expired	{agent} had a grant to {reach} and it has expired — grant it again to let {agent} reach {wanted}
capability.refused.never-granted	{agent} has not been granted {wanted} — grants are made by picking a folder, never by asking for one
capability.refused.no-agent	{agent} cannot reach {wanted} — this machine has no agent, so there is nothing granted and nothing to grant to
capturing.another-persons-window	That window belongs to somebody else signed in on this machine, so a picture of it cannot be taken. Take a picture of your own screen instead
capturing.copied	A picture of your screen was copied, ready to paste
capturing.mark.arrow	Arrow
capturing.mark.blur	Hide this — it cannot be brought back once you save
capturing.mark.box	Box
capturing.mark.freehand	Draw
capturing.mark.text	Add words
capturing.no-picture	A picture of the screen could not be taken: the part of alo OS that reads the screen did not answer. Sign out and back in to start it again
capturing.no-room-for-a-name	The picture could not be saved: that folder already holds one under every name this second can make. Move some of them somewhere else, and try again
capturing.not-a-folder-for-pictures	Pictures cannot be kept there. Choose a folder inside your own files, and try again
capturing.not-an-area-of-the-screen	That is not an area of the screen. Choose an area that is on the screen, and try again
capturing.not-copied	The picture could not be copied. Take it again, and report it if it happens a second time
capturing.not-written	The picture could not be saved in that folder. Check that the folder is still there and that the disk has room, and try again
capturing.nothing-came-back	A picture of the screen could not be taken: the part of alo OS that reads the screen answered with nothing at all. Report this, because until it is fixed this machine cannot take a picture of anything
capturing.nothing-reads-the-screen	A picture of the screen could not be taken: the part of alo OS that reads the screen is not running. Sign out and back in, and it comes back with it
capturing.recording.too-much-to-encode	This machine cannot record this screen as fast as it happens, so nothing was started. Record a smaller part of the screen, or record this screen on a machine that can keep up.
capturing.recording.too-much-to-encode-but	This machine cannot record this screen as fast as it happens, so nothing was started. It can record a smaller picture — choose that size and start again.
capturing.saved	A picture of your screen was saved as {name}
capturing.saved-and-copied	A picture of your screen was saved as {name}, and copied ready to paste
capturing.sharing.a-part-of-the-screen	This call can see one part of your screen, and nothing outside it
capturing.sharing.nothing	This call cannot see your screen
capturing.sharing.one-window	This call can see one window, and nothing else on your screen
capturing.sharing.the-whole-screen	This call can see your whole screen, including anything that appears on it
capturing.sound.both	This machine's sound and the microphone — this records anyone speaking near this machine
capturing.sound.none	No sound
capturing.sound.the-room	The microphone — this records anyone speaking near this machine, not only you
capturing.sound.this-machine	This machine's sound — nobody in the room is recorded
capturing.the-lock-screen	A picture of the lock screen cannot be taken. Sign in, and take the picture then
capturing.verb.purpose	Take a picture of the screen, for the question being answered
capturing.verb.sentence	Take a picture of your screen
changing-drives.ready	{drive} is ready, and what is on it is yours to open
changing-drives.refused.already-open	{drive} is already open, so nothing was changed. What is on it is yours to open
changing-drives.refused.approval-not-accepted	This was not done, because its approval was not accepted: it was used already, came too late, or was not given for this. Nothing was changed. Ask again, and approve it when you are asked
changing-drives.refused.could-not-finish	This machine could not finish what was asked of {drive}. Do not unplug it yet: try again, and close anything you have open on it first
changing-drives.refused.drives-not-answering	This machine is not answering about what is plugged into it, so nothing was changed. Restart the machine, then try again
changing-drives.refused.more-than-one-called	More than one thing plugged into this machine is called {drive}, so nothing was opened. Take one of them out, then try again
changing-drives.refused.none-plugged-in-called	Nothing called {drive} is plugged into this machine, so nothing was opened. Plug it in again, then try once more
changing-drives.refused.not-a-drive-change	This was not about a drive, so nothing was changed
changing-drives.refused.not-being-kept	This machine has stopped keeping its record of changes to its settings, so it makes none. Nothing was changed. Restart the machine
changing-drives.refused.nothing-makes-changes	The part of this machine that changes its settings is not running, so nothing was changed. Restart the machine
changing-drives.refused.nothing-to-open	There is nothing on {drive} this machine can open. It may be empty, or prepared for a machine of another kind
changing-drives.refused.part-of-this-machine	{drive} is part of this machine rather than something plugged into it, so nothing was changed
changing-drives.safe-to-unplug	{drive} is finished with, and safe to unplug
changing-network.forgotten	{network} is forgotten. This machine no longer joins it on its own
changing-network.joined	This machine is connected to {network}
changing-network.proxy-set	This machine's proxy is set, for everything on it that reaches the internet
changing-network.refused.approval-not-accepted	This change was not made, because its approval was not accepted: it was used already, came too late, or was not given for this change. Nothing was changed. Ask for it again, and approve it when you are asked
changing-network.refused.asks-for-a-sign-in	{network} asks for an organisation's sign-in, which this machine cannot set up yet, so nothing was changed. Ask whoever runs that network how to connect
changing-network.refused.connection-changed	This machine's connection changed after you approved this, so what the change would do to this conversation is no longer what you approved. Nothing was changed. Ask for it again
changing-network.refused.could-not-finish	This machine could not finish the change to its network, for example because a password was not accepted. Open the networks in Settings to see how they are now
changing-network.refused.more-than-one-called	More than one Wi-Fi network is called {network}, so nothing was changed. Choose the one you mean from the networks in Settings, where each shows whether it asks for a password
changing-network.refused.network-not-answering	This machine's network settings are not answering, so nothing was changed. Restart the machine, then try again
changing-network.refused.none-saved-called	No Wi-Fi network called {network} is saved on this machine, so nothing was changed. The networks in Settings show the ones that are
changing-network.refused.none-visible-called	No Wi-Fi network called {network} is in range, so nothing was changed. Move closer to it, then choose it from the networks in Settings
changing-network.refused.not-a-network-change	This was not a change to the network, so nothing was changed
changing-network.refused.not-being-kept	This machine has stopped keeping its record of changes to its settings, so it makes none. Nothing was changed. Restart the machine
changing-network.refused.nothing-makes-changes	The part of this machine that changes its settings is not running, so nothing was changed. Restart the machine
changing-network.refused.proxy-not-set	This machine's proxy was not set. If your organisation manages this machine, it sets the proxy. Otherwise open the proxy in Settings, check it, and set it again
changing-network.refused.says-the-wrong-thing	This change was not put to you, because it did not say correctly what it does to this conversation's connection. Nothing was changed. Ask for it again
changing-network.verb.forget-network.purpose	propose forgetting a Wi-Fi network this machine has saved
changing-network.verb.forget-network.sentence	forget the Wi-Fi network {network}, so this machine no longer joins it on its own, and {this_conversation}
changing-network.verb.join-network.purpose	propose joining a Wi-Fi network this machine can see
changing-network.verb.join-network.sentence	join the Wi-Fi network {network}, and {this_conversation}
changing-network.verb.keeps-its-connection	this conversation keeps its connection
changing-network.verb.loses-its-connection	this conversation loses its connection until this machine is connected again
changing-network.verb.network	the Wi-Fi network, by the name it announces
changing-network.verb.off	off
changing-network.verb.on	on
changing-network.verb.switch-wireless.purpose	propose turning this machine's Wi-Fi on or off
changing-network.verb.switch-wireless.sentence	turn Wi-Fi {wireless}, and {this_conversation}
changing-network.verb.this-conversation	what the change does to this conversation's connection
changing-network.verb.wireless	whether Wi-Fi is turned on or off
changing-network.wireless-off	Wi-Fi is off
changing-network.wireless-on	Wi-Fi is on
changing-printers.made-default	This machine prints on {printer} from now on
changing-printers.refused.approval-not-accepted	This change was not made, because its approval was not accepted: it was used already, came too late, or was not given for this change. Nothing was changed. Ask for it again, and approve it when you are asked
changing-printers.refused.could-not-finish	This machine could not finish the change to {printer}. Open the printers in Settings to see how they are now
changing-printers.refused.more-than-one-called	More than one printer is called {printer}, so nothing was changed. Choose the one you mean from the printers in Settings
changing-printers.refused.none-found-called	No printer called {printer} was found, so nothing was changed. Check that it is switched on and connected, then choose it from the printers in Settings
changing-printers.refused.none-set-up-called	No printer called {printer} is set up on this machine, so nothing was changed. The printers in Settings show the ones that are
changing-printers.refused.not-a-printer-change	This was not a change to the printers, so nothing was changed
changing-printers.refused.not-being-kept	This machine has stopped keeping its record of changes to its settings, so it makes none. Nothing was changed. Restart the machine
changing-printers.refused.nothing-makes-changes	The part of this machine that changes its settings is not running, so nothing was changed. Restart the machine
changing-printers.refused.printing-not-answering	This machine's printing is not answering, so nothing was changed. Restart the machine, then try again
changing-printers.removed	{printer} is removed from this machine. Nothing more can be printed on it until it is set up again
changing-printers.verb.add-printer.purpose	propose setting up a printer this machine found, so it can print on it
changing-printers.verb.add-printer.sentence	set up the printer {printer}, so this machine can print on it
changing-printers.verb.printer	the printer, by the name it gave itself
changing-printers.verb.remove-printer.purpose	propose removing a printer that is set up on this machine
changing-printers.verb.remove-printer.sentence	remove the printer {printer} from this machine
changing-printers.verb.set-default-printer.purpose	propose which of the printers set up on this machine it prints on
changing-printers.verb.set-default-printer.sentence	print on {printer} from now on
changing-undo.holding	Keeping these changes so they can be put back is using {size}
changing-undo.holding-nothing	Nothing has needed keeping yet, so this is using no space
changing-undo.how-far-back	Changes the agent makes can be put back for {days} days, or for the last {changes} changes — whichever ends first
changing-updates.refused.approval-not-accepted	Nothing was changed, because the approval for it was not accepted: it was used already, came too late, or was not given for this. Ask again, and approve it when you are asked
changing-updates.refused.not-an-update-change	This was not about an update, so nothing was changed
changing-updates.refused.not-being-kept	This machine has stopped keeping its record of changes to its system, so it makes none. Nothing was changed. Restart the machine
changing-updates.refused.nothing-makes-changes	The part of this machine that changes its system is not running, so nothing was changed. Restart the machine
changing.at-the-next-sign-in	The change is saved. Nothing is running to hear about it right now, so it takes effect at the next sign-in — there is nothing more to do
changing.nobody-keeps-pairings	The pairing was not revoked: the service that keeps this machine's pairings is not running, and nothing else may change them. It stands as it was
changing.not-kept	The change was not saved: the file this machine keeps its grants in would not take it. Everything is as it was — nothing was granted and nothing was revoked
changing.pairing-not-answered	This machine's agent service did not say whether the pairing was revoked. Look at the list of pairings again before relying on it
changing.pairing-refused	The pairing was not revoked. This machine's agent service said: {told}
changing.until-a-restart	The pairing is revoked for now, but this machine could not write that down. After a restart the pairing will stand again, and it will have to be revoked again
choosing.change.no-such-provider	your settings at {path} would say {provider} answers your questions and would list no provider of that name, so nothing in your settings has been changed
choosing.change.not-brought	your settings at {path} would say {model} answers your questions and would list no weights of that name, so nothing in your settings has been changed
choosing.change.not-expressible	this alo OS could not write that choice into settings at {path} it can read back again, so nothing in your settings has been changed
choosing.change.not-kept	your settings at {path} could not be written, so nothing in your settings has been changed
choosing.change.not-paired-to-answer	your settings at {path} would say the machine {machine} answers your questions, and no pairing with it lets it answer them at the moment, so nothing in your settings has been changed
choosing.change.nothing-to-change	your settings at {path} list no provider called {provider} to change, so nothing in your settings has been changed
choosing.change.nothing-to-measure	your settings at {path} list no weights called {model} to write a measurement beside, so nothing in your settings has been changed
choosing.session.no-folder	this session has no home directory; changes take effect now, but nothing you change now will be kept once you sign out
choosing.settings.another-format	your settings at {path} were written by a newer alo OS than this one, so nothing in the file has been used
choosing.settings.no-model	your settings at {path} name a list of models and no model in it, so nothing has been chosen to answer questions
choosing.settings.no-such-provider	your settings at {path} say {provider} answers your questions and do not list a provider of that name, so nothing in the file has been used
choosing.settings.not-a-language	your settings at {path} ask to be read in {language}, which is not written the way a language is named, so nothing in the file has been used
choosing.settings.not-brought	your settings at {path} say {model} answers your questions and do not list weights of that name, so nothing in the file has been used
choosing.settings.not-read	your settings at {path} could not be read, so nothing has been chosen to answer questions
